motrpac_comp_id	motrpac_comp_name	super_class	main_class	sub_class	multicomp_flag	formula	monoisotopic_mass	hmdb_id	refmet_id	cas_id	kegg_id	chebi_id	pubchem_id	lipidmaps_id	inchi_key	notes_comments
M05030154.001	TG(34:0)>TG(4:0_14:0_16:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C37H73NO6	627.5432	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030154.002	TG(34:0)>TG(10:0_10:0_14:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C37H73NO6	627.5432	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030154.003	TG(34:0)>TG(8:0_10:0_16:0)_and_TG(34:0)>TG(10:0_12:0_12:0)_and_TG(34:0)>TG(8:0_12:0_14:0)	Glycerolipids	Triadylglycerols	NA	TRUE	C37H73NO6	627.5432	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030154.004	TG(34:0)>TG(10:0_10:0_14:0)_and_TG(34:0)>TG(10:0_12:0_12:0)	Glycerolipids	Triadylglycerols	NA	TRUE	C37H73NO6	627.5432	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030155.000	TG(36:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C39H70O6	634.5172	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030155.001	TG(36:2)>TG(2:0_16:0_18:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C39H70O6	634.5172	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030155.002	TG(36:2)>TG(8:0_10:0_18:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C39H70O6	634.5172	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030156.000	TG(36:3)	Glycerolipids	Triadylglycerols	NA	FALSE	C39H68O6	632.5016	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030156.001	TG(36:3)>TG(2:0_16:1_18:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C39H68O6	632.5016	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030157.000	TG(38:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C41H78O6	666.5798	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030157.001	TG(38:0)>TG(10:0_12:0_16:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C41H78O6	666.5798	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030157.002	TG(38:0)>TG(10:0_12:0_16:0)_and_TG(38:0)>TG(10:0_10:0_18:0)_and_TG(38:0)>TG(8:0_12:0_18:0)	Glycerolipids	Triadylglycerols	NA	TRUE	C41H78O6	666.5798	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030158.000	TG(38:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C41H70O6	658.5172	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030158.001	TG(38:4)>TG(2:0_18:2_18:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C41H70O6	658.5172	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030159.000	TG(39:1)	Glycerolipids	Triadylglycerols	NA	FALSE	C42H78O6	678.5798	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030160.000	TG(39:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C42H76O6	676.5642	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030161.000	TG(40:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C43H82O6	694.6111	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030162.000	TG(40:5)	Glycerolipids	Triadylglycerols	NA	FALSE	C43H72O6	684.5329	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030162.001	TG(40:5)>TG(4:0_18:2_18:3)	Glycerolipids	Triadylglycerols	NA	FALSE	C43H72O6	684.5329	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030163.000	TG(41:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C44H80O6	704.5955	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030164.000	TG(41:3)	Glycerolipids	Triadylglycerols	NA	FALSE	C44H78O6	702.5798	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030164.001	TG(41:3)>TG(5:0_18:1_18:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C44H78O6	702.5798	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030165.000	TG(42:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C45H78O6	714.5798	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030166.000	TG(42:5)	Glycerolipids	Triadylglycerols	NA	FALSE	C45H76O6	712.5642	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030167.000	TG(42:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C45H74O6	710.5485	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030167.001	TG(42:6)>TG(4:0_16:0_22:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C45H74O6	710.5485	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030168.000	TG(43:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C46H84O6	732.6268	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030168.001	TG(43:2)>TG(10:0_15:0_18:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C46H84O6	732.6268	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030169.000	TG(45:3)	Glycerolipids	Triadylglycerols	NA	FALSE	C48H86O6	758.6424	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030169.001	TG(45:3)>TG(9:0_18:1_18:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C48H86O6	758.6424	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030169.002	TG(45:3)>TG(10:0_17:1_18:2)_and_TG(45:3)>TG(9:0_18:1_18:2)	Glycerolipids	Triadylglycerols	NA	TRUE	C48H86O6	758.6424	NA	NA	NA	NA	NA	NA	NA	NA	NA
