motrpac_comp_id	motrpac_comp_name	super_class	main_class	sub_class	multicomp_flag	formula	monoisotopic_mass	hmdb_id	refmet_id	cas_id	kegg_id	chebi_id	pubchem_id	lipidmaps_id	inchi_key	notes_comments
M06020009.000	PE(22:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C27H56NO7P	537.3794	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020009.001	PE(22:0)>PE(22:0_0:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C27H56NO7P	537.3794	HMDB0011520	NA	NA	NA	NA	NA	LMGP02050025	NYSQCLMCGRAJJQ-AREMUKBSSA-N	NA
M06020010.000	PE(34:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H78NO8P	719.5465	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020011.000	PE(34:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H76NO8P	717.5309	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020011.001	PE(34:1)>PE(16:0_18:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H76NO8P	717.5309	HMDB0009055	NA	NA	C00350	NA	NA	NA	DVXMEPWDARXHCX-OTMQOFQLSA-N*	NA
M06020011.002	PE(34:1)>PE (16:1_18:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H76NO8P	717.5309	HMDB0008958	NA	NA	C00350	NA	NA	LMGP02010524*	LUTADWBBHJXPTH-UHGNNPBBSA-N*	NA
M06020012.000	PE(34:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H74NO8P	715.5152	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020012.001	PE(34:2)>PE(16:0_18:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H74NO8P	715.5152	HMDB0009088	NA	NA	C00350	NA	NA	LMGP02011194*	XEPGAKWBGZDKCZ-NHCUFCNUSA-N*	NA
M06020013.000	PE(36:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H82NO8P	747.5778	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020014.000	PE(36:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H80NO8P	745.5622	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020014.001	PE(36:1)>PE(18:0_18:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H80NO8P	745.5622	HMDB0008993	NA	NA	C00350	NA	NA	NA	JQKOHRZNEOQNJE-DJEJVYNPSA-N*	NA
M06020015.000	PE(36:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H78NO8P	743.5465	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020015.001	PE(36:2)>PE(18:0_18:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H78NO8P	743.5465	HMDB0009090	NA	NA	C00350	NA	NA	LMGP02011193*	DXXUYBAISOHOLM-XRIXOMQFSA-N*	NA
M06020015.002	PE(36:2)>PE(18:0/18:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H78NO8P	743.5465	NA	NA	NA	NA	NA	NA	LMGP02010044*	NA	NA
M06020015.003	PE(36:2)>PE(18:1/18:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H78NO8P	743.5465	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020016.000	PE(36:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H76NO8P	741.5309	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020016.001	PE(36:3)>PE(18:1_18:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H76NO8P	741.5309	HMDB0009060	NA	NA	C00350	NA	NA	LMGP02010048*	GKAFCSRKMWFPSJ-RJXNKANHSA-N*	NA
M06020016.002	PE(36:3)>PE(16:0_20:3)_and_PE(36:3)>PE(18:1_18:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	TRUE	C41H76NO8P	741.5309	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020017.000	PE(36:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H74NO8P	739.5152	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020017.001	PE(36:4)>PE(16:0_20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H74NO8P	739.5152	HMDB0008937	NA	NA	C00350	NA	NA	LMGP02010096*	DRIVXEVMDWCWLI-CAQMIEAISA-N*	NA
M06020017.002	PE(36:4)>PE(18:2/18:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H74NO8P	739.5152	HMDB0009093	NA	NA	C00350	NA	NA	LMGP02010111*	SSCDRSKJTAQNNB-DWEQTYCFSA-N*	NA
M06020017.003	PE(36:4)>PE(20:4_16:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H74NO8P	739.5152	NA	NA	NA	NA	NA	NA	LMGP02011174*	NA	NA
M06020018.000	PE(36:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H74NO8P	763.5152	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020018.001	PE(36:6)>PE(16:0_22:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H74NO8P	763.5152	HMDB0008946	NA	NA	C00350	NA	NA	LMGP02010095*	MPWUZHVZZKSTPV-MADBQMNMSA-N*	NA
M06020019.000	PE(38:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H82NO8P	771.5778	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020020.000	PE(38:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H80NO8P	769.5622	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020020.001	PE(38:3)>PE(18:0_20:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H80NO8P	769.5622	HMDB0009002	NA	NA	C00350	NA	NA	LMGP02011202*	XJPVAWWHABLYPE-KPRICRNFSA-N*	NA
M06020021.000	PE(38:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H78NO8P	767.5465	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020021.001	PE(38:4)>PE(18:0_20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H78NO8P	767.5465	HMDB0009003	NA	NA	C00350	NA	NA	LMGP02010118*	ANRKEHNWXKCXDB-BHFWLYLHSA-N*	NA
M06020021.002	PE(38:4)>PE(18:0/20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H78NO8P	767.5465	NA	NA	NA	NA	NA	NA	LMGP02010118*	NA	NA
M06020021.003	PE(38:4)>PE(16:0_22:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H78NO8P	767.5465	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020022.000	PE(38:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H76NO8P	765.5309	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020022.001	PE(38:5)>PE(16:0_22:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H76NO8P	765.5309	HMDB0009616	NA	NA	C00350	NA	NA	NA	IGLDAKIUZPDOCH-XHZSNTCFSA-N*	NA
M06020022.002	PE(38:5)>PE(18:1_20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H76NO8P	765.5309	HMDB0009389	NA	NA	C00350	NA	NA	LMGP02010944*	VFUVYNGTMNUBMF-ZRVIQYDLSA-N*	NA
M06020022.003	PE(38:5)>PE(16:0_22:5)_and_PE(38:5)>PE(18:1_20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	TRUE	C43H76NO8P	765.5309	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020023.000	PE(38:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H74NO8P	763.5152	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020023.001	PE(38:6)>PE(16:0/22:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H74NO8P	763.5152	NA	NA	NA	NA	NA	NA	LMGP02010095*	NA	NA
M06020023.002	PE(38:6)>PE(18:2_20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H74NO8P	763.5152	HMDB0009390	NA	NA	C00350	NA	NA	LMGP02010945*	VRBJSZDBPQLNEM-PFTGJCAASA-N*	NA
M06020023.003	PE(38:6)>PE(16:0_22:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H74NO8P	763.5152	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020024.000	PE(40:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H82NO8P	795.5778	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020024.001	PE(40:4)>PE(18:0_22:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H82NO8P	795.5778	HMDB0009585	NA	NA	C00350	NA	NA	LMGP02011113*	WALILJXJZOCRCD-LFKCOKBZSA-N*	NA
M06020025.000	PE(40:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H80NO8P	793.5622	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020025.001	PE(40:5)>PE(18:0_22:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H80NO8P	793.5622	HMDB0009010	NA	NA	C00350	NA	NA	NA	DPRXQVIZBLENFV-NPQRSGSQSA-N*	NA
M06020026.000	PE(40:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H78NO8P	791.5465	HMDB0009012	NA	NA	C00350	NA	9546798	NA	XYYHNDVKALDFHQ-OXHZBIAZSA-N*	NA
M06020026.001	PE(40:6)>PE(18:0_22:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H78NO8P	791.5465	HMDB0009012	NA	NA	C00350	NA	NA	LMGP02010094*	XYYHNDVKALDFHQ-OXHZBIAZSA-N*	NA
M06020027.000	PE(40:7)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H76NO8P	789.5309	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020027.001	PE(40:7)>PE(18:1_22:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H76NO8P	789.5309	HMDB0009686	NA	NA	C00350	NA	NA	LMGP02011143*	FXGOEHDEIHUMCP-XNGCGXPYSA-N*	NA
M06020027.002	PE(40:7)>PE(18:2_22:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H76NO8P	789.5309	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020027.003	PE(40:7)>PE(18:1_22:6)_and_PE(40:7)>PE(18:0_22:7)	Glycerophospholipids	Glycerophosphoethanolamines	NA	TRUE	C45H76NO8P	789.5309	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020028.000	PE(40:8)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H74NO8P	787.5152	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020028.001	PE(40:8)>PE(18:2_22:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H74NO8P	787.5152	HMDB0009687	NA	NA	C00350	NA	NA	LMGP02011144*	AULXINVNYCXEKZ-SJRRWGJHSA-N*	NA
M06020029.000	PE(20:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	TRUE	C25H50NO7P	507.3325	HMDB0011512	NA	NA	NA	NA	52925139	NA	JEAGLCKGAKACCE-OPSAWKISSA-N	NA
M06020030.000	PE(34:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H72NO8P	713.4996	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020030.001	PE(34:3)>PE(16:0_18:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H72NO8P	713.4996	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020031.000	PE(36:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H72NO8P	737.4996	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020031.001	PE(36:5)>PE(16:0_20:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H72NO8P	737.4996	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020031.002	PE(36:5)>PE(16:1_20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H72NO8P	737.4996	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020032.000	PE(37:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C42H76NO8P	753.5309	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020032.001	PE(37:4)>PE(17:0_20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C42H76NO8P	753.5309	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020033.000	PE(39:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C44H80NO8P	781.5622	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020033.001	PE(39:4)>PE(19:0_20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C44H80NO8P	781.5622	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020034.000	PE(39:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C44H76NO8P	777.5309	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020034.001	PE(39:6)>PE(17:0_22:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C44H76NO8P	777.5309	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020500.000	PE(O-34:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H78NO7P	703.5516	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020500.001	PE(P-34:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H78NO7P	703.5516	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020500.002	PE(O-34:1)>PE(O-18:1/16:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H78NO7P	703.5516	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020500.003	PE(P-34:0)>PE(P-18:0/16:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H78NO7P	703.5516	HMDB0011340	NA	NA	NA	NA	NA	LMGP02030018	UQIDVGMGKVCWIS-WBXWDXDJSA-N	NA
M06020501.000	PE(O-34:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H76NO7P	701.5359	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020501.001	PE(P-34:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H76NO7P	701.5359	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020501.002	PE(P-34:1)>PE(P-16:0/18:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H76NO7P	701.5359	HMDB0011342	NA	NA	NA	NA	NA	LMGP02030095*	ZVVYJAAMWXATNY-PRWZWGSOSA-N*	NA
M06020501.003	PE(P-34:1)>PE(P-18:1/16:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H76NO7P	701.5359	HMDB0011437	NA	NA	NA	NA	NA	NA	ZOSSFCIAXYNTHL-CSTBBDSDSA-N*	NA
M06020501.004	PE(O-34:2)>PE(O-16:2/18:0)_and_PE(O-34:2)>PE(O-18:2/16:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	TRUE	C39H76NO7P	701.5359	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020502.000	PE(O-34:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H74NO7P	699.5203	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020502.001	PE(P-34:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C39H74NO7P	699.5203	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020503.000	PE(O-35:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C40H80NO7P	717.5672	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020503.001	PE(P-35:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C40H80NO7P	717.5672	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020504.000	PE(O-36:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H82NO7P	731.5829	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020504.001	PE(P-36:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H82NO7P	731.5829	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020505.000	PE(O-36:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H80NO7P	729.5667	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020505.001	PE(P-36:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H80NO7P	729.5667	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020505.002	PE(O-36:2)>PE(O-18:1/18:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H80NO7P	729.5667	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020506.000	PE(O-36:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H78NO7P	727.5516	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020506.001	PE(P-36:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H78NO7P	727.5516	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020506.002	PE(O-36:3)>PE(O-18:1/18:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H78NO7P	727.5516	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020506.003	PE(O-36:3)>PE(O-18:2/18:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H78NO7P	727.5516	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020507.000	PE(O-36:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H76NO7P	725.5354	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020507.001	PE(P-36:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H76NO7P	725.5354	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020507.002	PE(P-36:3)>PE(P-16:0/20:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H76NO7P	725.5354	HMDB0011351	NA	NA	NA	NA	NA	LMGP02030027*	OFLIDIBZDKQXPD-UKFMZXQISA-N*	NA
M06020507.003	PE(P-36:3)>PE(P-18:1/18:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H76NO7P	725.5354	HMDB0011409	NA	NA	NA	NA	NA	NA	FAYPJOANJXGJTO-LIWWULAASA-N*	NA
M06020507.004	PE(P-36:3)>PE(P-18:2/18:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H76NO7P	725.5354	HMDB0009116	NA	NA	C00350	NA	NA	NA	BEMSJAOWFQJOQA-LIWWULAASA-N*	NA
M06020507.005	PE(O-36:4)>PE(O-18:3/18:1)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H76NO7P	725.5354	NA	NA	NA	NA	NA	NA	NA	NA	NA
M60205088.000	PE(O-36:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H74NO7P	723.5203	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020508.001	PE(P-36:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H74NO7P	723.5203	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020508.002	PE(P-36:4)>PE(P-16:0/20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H74NO7P	723.5203	HMDB0011352	NA	NA	NA	NA	NA	LMGP02030093*	UUYSKERSKRMYME-MAIXUNBTSA-N*	NA
M06020508.003	PE(O-36:5)>PE(O-16:1/20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C41H74NO7P	723.5203	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020509.000	PE(O-37:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C42H80NO7P	741.5672	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020509.001	PE(P-37:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C42H80NO7P	741.5672	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020510.000	PE(O-38:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H78NO7P	751.5516	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020510.001	PE(P-38:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H78NO7P	751.5516	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020510.002	PE(P-38:4)>PE(P-18:0/20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H78NO7P	751.5516	NA	NA	NA	NA	NA	NA	LMGP02030003*	NA	NA
M06020510.003	PE(O-38:5)>PE(O-18:1/20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H78NO7P	751.5516	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020510.004	PE(O-38:5)>PE(O-16:1/22:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H78NO7P	751.5516	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020511.000	PE(O-38:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H76NO7P	749.5359	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020511.001	PE(P-38:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H76NO7P	749.5359	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020511.002	PE(O-38:6)>PE(O-18:2/20:4)_and_PE(O-38:6)>PE(O-16:1/22:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	TRUE	C43H76NO7P	749.5359	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020511.003	PE(O-38:6)>PE(O-16:1/22:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H76NO7P	749.5359	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020512.000	PE(O-38:7)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H74NO7P	747.5203	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020512.001	PE(P-38:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H74NO7P	747.5203	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020512.002	PE(O-38:7)>PE(O-16:1/22:6)_and_PE(O-38:7)>PE(O-20:7/18:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	TRUE	C43H74NO7P	747.5203	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020512.003	PE(O-38:7)>PE(O-16:1/22:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C43H74NO7P	747.5203	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020513.000	PE(O-39:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C44H84NO7P	769.5985	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020513.001	PE(P-39:2)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C44H84NO7P	769.5985	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020514.000	PE(O-39:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C44H82NO7P	767.5829	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020514.001	PE(P-39:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C44H82NO7P	767.5829	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020515.000	PE(O-40:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H84NO7P	781.598	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020515.001	PE(P-40:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H84NO7P	781.598	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020515.002	PE(O-40:4)>PE(O-20:0/20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H84NO7P	781.598	NA	NA	NA	NA	NA	NA	LMGP02020083*	NA	NA
M06020515.003	PE(O-40:4)>PE(O-18:0/22:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H84NO7P	781.598	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020515.004	PE(P-40:3)>PE(P-18:0/22:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H84NO7P	781.598	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020515.005	PE(O-40:4)>PE(O-18:1/22:3)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H84NO7P	781.598	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020516.000	PE(O-40:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H82NO7P	779.5829	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020516.001	PE(P-40:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H82NO7P	779.5829	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020516.002	PE(P-40:4)>PE(P-18:0/22:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H82NO7P	779.5829	HMDB0011391	NA	NA	NA	NA	NA	LMGP02030061*	TVTRPEJBOGUHBJ-IKHSQHJKSA-N*	NA
M06020516.003	PE(P-40:4)>PE(P-20:0/20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H82NO7P	779.5829	NA	NA	NA	NA	NA	NA	LMGP02030085*	OQKUDRFZPJFLJQ-KMUIXOOCSA-N*	NA
M06020516.004	PE(P-40:4)>PE(P-24:4/16:0)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H82NO7P	779.5829	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020516.005	PE(O-40:5)>PE(P-20:1/20:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H82NO7P	779.5829	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020516.006	PE(O-40:5)>PE(O-18:1/22:4)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H82NO7P	779.5829	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020517.000	PE(O-40:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H80NO7P	777.5667	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020517.001	PE(P-40:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H80NO7P	777.5667	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06020517.002	PE(O-40:6)>PE(O-18:0/22:6)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H80NO7P	777.5667	NA	NA	NA	NA	NA	NA	LMGP02020104*	CFLIAMAPAOTPGM-AOXDHDBISA-N*	NA
M06020517.003	PE(P-40:5)>PE(P-18:0/22:5)	Glycerophospholipids	Glycerophosphoethanolamines	NA	FALSE	C45H80NO7P	777.5667	HMDB0009643	NA	NA	C00350	NA	NA	NA	PCKXGFCVDCVIHH-ABYSKWQHSA-N*	NA
