FormName	Field.Name	Alias..Field.Name.description.	Data.Type	Categorical.Values	Categorical.Definitions	Alt.Field.Name	Calculated.Created.variable..1.yes.	Continous.Range.Min	Continous.Range.Max
Animal Training	day2time	Day 2 Time	varchar			animal.training.day2time	NA	NA	NA
Animal Training	day2_treadmillspeed	Day 2 Treadmill Speed	numeric			animal.training.day2_treadmillspeed	NA	NA	NA
Animal Training	day2_treadmillincline	Day 2 Treadmill Incline	numeric			animal.training.day2_treadmillincline	NA	NA	NA
Animal Training	day2_timeontreadmill	Day 2 Time on Treadmill	int			animal.training.day2_timeontreadmill	NA	NA	NA
Animal Training	day2_weight	Day 2 Weight	numeric			animal.training.day2_weight	NA	NA	NA
Animal Training	day2_posttrainlact	Day 2 Post-Training Lactate	numeric			animal.training.day2_posttrainlact	NA	NA	NA
Animal Training	day2_score	Day 2 Score	int			animal.training.day2_score	NA	1	4
Animal Training	day2_comments	Day 2 Comments	varchar(MAX)			animal.training.day2_comments	NA	NA	NA
Animal Training	day3_days	[C] Day 3 Day (in relation to arrival date)	int			animal.training.day3_days	1	NA	NA
Animal Training	day3time	Day 3 Time	varchar			animal.training.day3time	NA	NA	NA
Animal Training	day3_treadmillspeed	Day 3 Treadmill Speed	numeric			animal.training.day3_treadmillspeed	NA	NA	NA
Animal Training	day3_treadmillincline	Day 3 Treadmill Incline	numeric			animal.training.day3_treadmillincline	NA	NA	NA
Animal Training	day3_timeontreadmill	Day 3 Time on Treadmill	int			animal.training.day3_timeontreadmill	NA	NA	NA
Animal Training	day3_weight	Day 3 Weight	numeric			animal.training.day3_weight	NA	NA	NA
Animal Training	day3_posttrainlact	Day 3 Post-training Lactate	numeric			animal.training.day3_posttrainlact	NA	NA	NA
Animal Training	day3_score	Day 3 Score	int			animal.training.day3_score	NA	1	4
Animal Training	day3_comments	Day 3 Comments	varchar(MAX)			animal.training.day3_comments	NA	NA	NA
Animal Training	day4_days	[C] Day 4 Day (in relation to arrival date)	int			animal.training.day4_days	1	NA	NA
Animal Training	day4time	Day 4 Time	varchar			animal.training.day4time	NA	NA	NA
Animal Training	day4_treadmillspeed	Day 4 Treadmill Speed	numeric			animal.training.day4_treadmillspeed	NA	NA	NA
Animal Training	day4_treadmillincline	Day 4 Treadmill Incline	numeric			animal.training.day4_treadmillincline	NA	NA	NA
Animal Training	day4_timeontreadmill	Day 4 Time on Treadmill	int			animal.training.day4_timeontreadmill	NA	NA	NA
Animal Training	day4_weight	Day 4 Weight	numeric			animal.training.day4_weight	NA	NA	NA
Animal Training	day4_posttrainlact	Day 4 Post-training Lactate	numeric			animal.training.day4_posttrainlact	NA	NA	NA
Animal Training	day4_score	Day 4 Score	int			animal.training.day4_score	NA	1	4
Animal Training	day4_comments	Day 4 Comments	varchar(MAX)			animal.training.day4_comments	NA	NA	NA
Animal Training	day5_days	[C] Day 5 Day (in relation to arrival date)	int			animal.training.day5_days	1	NA	NA
Animal Training	day5time	Day 5 Time	varchar			animal.training.day5time	NA	NA	NA
Animal Training	day5_treadmillspeed	Day 5 Treadmill Speed	numeric			animal.training.day5_treadmillspeed	NA	NA	NA
Animal Training	day5_treadmillincline	Day 5 Treadmill Incline	numeric			animal.training.day5_treadmillincline	NA	NA	NA
Animal Training	day5_timeontreadmill	Day 5 Time on Treadmill	int			animal.training.day5_timeontreadmill	NA	NA	NA
Animal Training	day5_weight	Day 5 Weight	numeric			animal.training.day5_weight	NA	NA	NA
Animal Training	day5_posttrainlact	Day 5 Post-training Lactate	numeric			animal.training.day5_posttrainlact	NA	NA	NA
Animal Training	day5_score	Day 5 Score	int			animal.training.day5_score	NA	1	4
Animal Training	day5_comments	Day 5 Comments	varchar(MAX)			animal.training.day5_comments	NA	NA	NA
Animal Training	day6_days	[C] Day 6 Day (in relation to arrival date)	int			animal.training.day6_days	1	NA	NA
Animal Training	day6time	Day 6 Time	varchar			animal.training.day6time	NA	NA	NA
Animal Training	day6_treadmillspeed	Day 6 Treadmill Speed	numeric			animal.training.day6_treadmillspeed	NA	NA	NA
Animal Training	day6_treadmillincline	Day 6 Treadmill Incline	numeric			animal.training.day6_treadmillincline	NA	NA	NA
Animal Training	day6_timeontreadmill	Day 6 Time on Treadmill	int			animal.training.day6_timeontreadmill	NA	NA	NA
Animal Training	day6_weight	Day 6 Weight	numeric			animal.training.day6_weight	NA	NA	NA
Animal Training	day6_posttrainlact	Day 6 Post-training Lactate	numeric			animal.training.day6_posttrainlact	NA	NA	NA
Animal Training	day6_score	Day 6 Score	int			animal.training.day6_score	NA	1	4
Animal Training	day6_comments	Day 6 Comments	varchar(MAX)			animal.training.day6_comments	NA	NA	NA
Animal Training	day7_days	[C] Day 7 Day (in relation to arrival date)	int			animal.training.day7_days	1	NA	NA
Animal Training	day7time	Day 7 Time	varchar			animal.training.day7time	NA	NA	NA
Animal Training	day7_treadmillspeed	Day 7 Treadmill Speed	numeric			animal.training.day7_treadmillspeed	NA	NA	NA
Animal Training	day7_treadmillincline	Day 7 Treadmill Incline	numeric			animal.training.day7_treadmillincline	NA	NA	NA
Animal Training	day7_timeontreadmill	Day 7 Time on Treadmill	int			animal.training.day7_timeontreadmill	NA	NA	NA
Animal Training	day7_weight	Day 7 Weight	numeric			animal.training.day7_weight	NA	NA	NA
Animal Training	day7_posttrainlact	Day 7 Post-training Lactate	numeric			animal.training.day7_posttrainlact	NA	NA	NA
Animal Training	day7_score	Day 7 Score	int			animal.training.day7_score	NA	1	4
Animal Training	day7_comments	Day 7 Comments	varchar(MAX)			animal.training.day7_comments	NA	NA	NA
Animal Training	day8_days	[C] Day 8 Day (in relation to arrival date)	int			animal.training.day8_days	1	NA	NA
Animal Training	day8time	Day 8 Time	varchar			animal.training.day8time	NA	NA	NA
Animal Training	day8_treadmillspeed	Day 8 Treadmill Speed	numeric			animal.training.day8_treadmillspeed	NA	NA	NA
Animal Training	day8_treadmillincline	Day 8 Treadmill Incline	numeric			animal.training.day8_treadmillincline	NA	NA	NA
Animal Training	day8_timeontreadmill	Day 8 Time on Treadmill	int			animal.training.day8_timeontreadmill	NA	NA	NA
Animal Training	day8_weight	Day 8 Weight	numeric			animal.training.day8_weight	NA	NA	NA
Animal Training	day8_posttrainlact	Day 8 Post-training Lactate	numeric			animal.training.day8_posttrainlact	NA	NA	NA
Animal Training	day8_score	Day 8 Score	int			animal.training.day8_score	NA	1	4
Animal Training	day8_comments	Day 8 Comments	varchar(MAX)			animal.training.day8_comments	NA	NA	NA
Animal Training	day9_days	[C] Day 9 Day (in relation to arrival date)	int			animal.training.day9_days	1	NA	NA
Animal Training	day9time	Day 9 Time	varchar			animal.training.day9time	NA	NA	NA
Animal Training	day9_treadmillspeed	Day 9 Treadmill Speed	numeric			animal.training.day9_treadmillspeed	NA	NA	NA
Animal Training	day9_treadmillincline	Day 9 Treadmill Incline	numeric			animal.training.day9_treadmillincline	NA	NA	NA
Animal Training	day9_timeontreadmill	Day 9 Time on Treadmill	int			animal.training.day9_timeontreadmill	NA	NA	NA
Animal Training	day9_weight	Day 9 Weight	numeric			animal.training.day9_weight	NA	NA	NA
Animal Training	day9_posttrainlact	Day 9 Post-training Lactate	numeric			animal.training.day9_posttrainlact	NA	NA	NA
Animal Training	day9_score	Day 9 Score	int			animal.training.day9_score	NA	1	4
Animal Training	day9_comments	Day 9 Comments	varchar(MAX)			animal.training.day9_comments	NA	NA	NA
Animal Training	day10_days	[C] Day 10 Day (in relation to arrival date)	int			animal.training.day10_days	1	NA	NA
Animal Training	day10time	Day 10 Time	varchar			animal.training.day10time	NA	NA	NA
Animal Training	day10_treadmillspeed	Day 10 Treadmill Speed	numeric			animal.training.day10_treadmillspeed	NA	NA	NA
Animal Training	day10_treadmillincline	Day 10 Treadmill Incline	numeric			animal.training.day10_treadmillincline	NA	NA	NA
Animal Training	day10_timeontreadmill	Day 10 Time on Treadmill	int			animal.training.day10_timeontreadmill	NA	NA	NA
Animal Training	day10_weight	Day 10 Weight	numeric			animal.training.day10_weight	NA	NA	NA
Animal Training	day10_posttrainlact	Day 10 Post-training Lactate	numeric			animal.training.day10_posttrainlact	NA	NA	NA
Animal Training	day10_score	Day 10 Score	int			animal.training.day10_score	NA	1	4
Animal Training	day10_comments	Day 10 Comments	varchar(MAX)			animal.training.day10_comments	NA	NA	NA
Animal Training	day11_days	[C] Day 11 Day (in relation to arrival date)	int			animal.training.day11_days	1	NA	NA
Animal Training	day11time	Day 11 Time	varchar			animal.training.day11time	NA	NA	NA
Animal Training	day11_treadmillspeed	Day 11 Treadmill Speed	numeric			animal.training.day11_treadmillspeed	NA	NA	NA
Animal Training	day11_treadmillincline	Day 11 Treadmill Incline	numeric			animal.training.day11_treadmillincline	NA	NA	NA
Animal Training	day11_timeontreadmill	Day 11 Time on Treadmill	int			animal.training.day11_timeontreadmill	NA	NA	NA
Animal Training	day11_weight	Day 11 Weight	numeric			animal.training.day11_weight	NA	NA	NA
Animal Training	day11_posttrainlact	Day 11 Post-training Lactate	numeric			animal.training.day11_posttrainlact	NA	NA	NA
Animal Training	day11_score	Day 11 Score	int			animal.training.day11_score	NA	1	4
Animal Training	day11_comments	Day 11 Comments	varchar(MAX)			animal.training.day11_comments	NA	NA	NA
Animal Training	day12_days	[C] Day 12 Day (in relation to arrival date)	int			animal.training.day12_days	1	NA	NA
Animal Training	day12time	Day 12 Time	varchar			animal.training.day12time	NA	NA	NA
Animal Training	day12_treadmillspeed	Day 12 Treadmill Speed	numeric			animal.training.day12_treadmillspeed	NA	NA	NA
Animal Training	day12_treadmillincline	Day 12 Treadmill Incline	numeric			animal.training.day12_treadmillincline	NA	NA	NA
Animal Training	day12_timeontreadmill	Day 12 Time on Treadmill	int			animal.training.day12_timeontreadmill	NA	NA	NA
Animal Training	day12_weight	Day 12 Weight	numeric			animal.training.day12_weight	NA	NA	NA
Animal Training	day12_posttrainlact	Day 12 Post-training Lactate	numeric			animal.training.day12_posttrainlact	NA	NA	NA
Animal Training	day12_score	Day 12 Score	int			animal.training.day12_score	NA	1	4
Animal Training	day12_comments	Day 12 Comments	varchar(MAX)			animal.training.day12_comments	NA	NA	NA
Animal Training	day13_days	[C] Day 13 Day (in relation to arrival date)	int			animal.training.day13_days	1	NA	NA
Animal Training	day13time	Day 13 Time	varchar			animal.training.day13time	NA	NA	NA
Animal Training	day13_treadmillspeed	Day 13 Treadmill Speed	numeric			animal.training.day13_treadmillspeed	NA	NA	NA
Animal Training	day13_treadmillincline	Day 13 Treadmill Incline	numeric			animal.training.day13_treadmillincline	NA	NA	NA
Animal Training	day13_timeontreadmill	Day 13 Time on Treadmill	int			animal.training.day13_timeontreadmill	NA	NA	NA
Animal Training	day13_weight	Day 13 Weight	numeric			animal.training.day13_weight	NA	NA	NA
Animal Training	day13_posttrainlact	Day 13 Post-training Lactate	numeric			animal.training.day13_posttrainlact	NA	NA	NA
Animal Training	day13_score	Day 13 Score	int			animal.training.day13_score	NA	1	4
Animal Training	day13_comments	Day 13 Comments	varchar(MAX)			animal.training.day13_comments	NA	NA	NA
Animal Training	day14_days	[C] Day 14 Day (in relation to arrival date)	int			animal.training.day14_days	1	NA	NA
Animal Training	day14time	Day 14 Time	varchar			animal.training.day14time	NA	NA	NA
Animal Training	day14_treadmillspeed	Day 14 Treadmill Speed	numeric			animal.training.day14_treadmillspeed	NA	NA	NA
Animal Training	day14_treadmillincline	Day 14 Treadmill incline	numeric			animal.training.day14_treadmillincline	NA	NA	NA
Animal Training	day14_timeontreadmill	Day 14 Time on Treadmill	int			animal.training.day14_timeontreadmill	NA	NA	NA
Animal Training	day14_weight	Day 14 Weight	numeric			animal.training.day14_weight	NA	NA	NA
Animal Training	day14_posttrainlact	Day 14 Post-training Lactate	numeric			animal.training.day14_posttrainlact	NA	NA	NA
Animal Training	day14_score	Day 14 Score	int			animal.training.day14_score	NA	1	4
Animal Training	day14_comments	Day 14 Comments	varchar(MAX)			animal.training.day14_comments	NA	NA	NA
Animal Training	day15_days	[C] Day 15 Day (in relation to arrival date)	int			animal.training.day15_days	1	NA	NA
Animal Training	day15time	Day 15 Time	varchar			animal.training.day15time	NA	NA	NA
Animal Training	day15_treadmillspeed	Day 15 Treadmill Speed	numeric			animal.training.day15_treadmillspeed	NA	NA	NA
Animal Training	day15_treadmillincline	Day 15 Treadmill Incline	numeric			animal.training.day15_treadmillincline	NA	NA	NA
Animal Training	day15_timeontreadmill	Day 15 Time on Treadmill	int			animal.training.day15_timeontreadmill	NA	NA	NA
Animal Training	day15_weight	Day 15 Weight	numeric			animal.training.day15_weight	NA	NA	NA
Animal Training	day15_posttrainlact	Day 15 Post-training Lactate	numeric			animal.training.day15_posttrainlact	NA	NA	NA
Animal Training	day15_score	Day 15 Score	int			animal.training.day15_score	NA	1	4
Animal Training	day15_comments	Day 15 Comments	varchar(MAX)			animal.training.day15_comments	NA	NA	NA
Animal Training	day16_days	[C] Day 16 Day (in relation to arrival date)	int			animal.training.day16_days	1	NA	NA
Animal Training	day16time	Day 16 Time	varchar			animal.training.day16time	NA	NA	NA
Animal Training	day16_treadmillspeed	Day 16 Treadmill Speed	numeric			animal.training.day16_treadmillspeed	NA	NA	NA
Animal Training	day16_treadmillincline	Day 16 Treadmill Incline	numeric			animal.training.day16_treadmillincline	NA	NA	NA
Animal Training	day16_timeontreadmill	Day 16 Time on Treadmill	int			animal.training.day16_timeontreadmill	NA	NA	NA
Animal Training	day16_weight	Day 16 Weight	numeric			animal.training.day16_weight	NA	NA	NA
Animal Training	day16_posttrainlact	Day 16 Post-training Lactate	numeric			animal.training.day16_posttrainlact	NA	NA	NA
Animal Training	day16_score	Day 16 Score	int			animal.training.day16_score	NA	1	4
Animal Training	day16_comments	Day 16 Comments	varchar(MAX)			animal.training.day16_comments	NA	NA	NA
Animal Training	day17_days	[C] Day 17 Day (in relation to arrival date)	int			animal.training.day17_days	1	NA	NA
Animal Training	day17time	Day 17 Time	varchar			animal.training.day17time	NA	NA	NA
Animal Training	day17_treadmillspeed	Day 17 Treadmill Speed	numeric			animal.training.day17_treadmillspeed	NA	NA	NA
Animal Training	day17_treadmillincline	Day 17 Treadmill Incline	numeric			animal.training.day17_treadmillincline	NA	NA	NA
Animal Training	day17_timeontreadmill	Day 17 Time on Treadmill	int			animal.training.day17_timeontreadmill	NA	NA	NA
Animal Training	day17_weight	Day 17 Weight	numeric			animal.training.day17_weight	NA	NA	NA
Animal Training	day17_posttrainlact	Day 17 Post-training Lactate	numeric			animal.training.day17_posttrainlact	NA	NA	NA
Animal Training	day17_score	Day 17 Score	int			animal.training.day17_score	NA	1	4
Animal Training	day17_comments	Day 17 Comments	varchar(MAX)			animal.training.day17_comments	NA	NA	NA
Animal Training	day18_days	[C] Day 18 Day (in relation to arrival date)	int			animal.training.day18_days	1	NA	NA
Animal Training	day18time	Day 18 Time	varchar			animal.training.day18time	NA	NA	NA
Animal Training	day18_treadmillspeed	Day 18 Treadmill Speed	numeric			animal.training.day18_treadmillspeed	NA	NA	NA
Animal Training	day18_treadmillincline	Day 18 Treadmill Incline	numeric			animal.training.day18_treadmillincline	NA	NA	NA
Animal Training	day18_timeontreadmill	Day 18 Time on Treadmill	int			animal.training.day18_timeontreadmill	NA	NA	NA
Animal Training	day18_weight	Day 18 Weight	numeric			animal.training.day18_weight	NA	NA	NA
Animal Training	day18_posttrainlact	Day 18 Post-training Lactate	numeric			animal.training.day18_posttrainlact	NA	NA	NA
Animal Training	day18_score	Day 18 Score	int			animal.training.day18_score	NA	1	4
Animal Training	day18_comments	Day 18 Comments	varchar(MAX)			animal.training.day18_comments	NA	NA	NA
Animal Training	day19_days	[C] Day 19 Day (in relation to arrival date)	int			animal.training.day19_days	1	NA	NA
Animal Training	day19time	Day 19 Time	varchar			animal.training.day19time	NA	NA	NA
Animal Training	day19_treadmillspeed	Day 19 Treadmill Speed	numeric			animal.training.day19_treadmillspeed	NA	NA	NA
Animal Training	day19_treadmillincline	Day 19 Treadmill Incline	numeric			animal.training.day19_treadmillincline	NA	NA	NA
Animal Training	day19_timeontreadmill	Day 19 Time on Treadmill	int			animal.training.day19_timeontreadmill	NA	NA	NA
Animal Training	day19_weight	Day 19 Weight	numeric			animal.training.day19_weight	NA	NA	NA
Animal Training	day19_posttrainlact	Day 19 Post-training Lactate	numeric			animal.training.day19_posttrainlact	NA	NA	NA
Animal Training	day19_score	Day 19 Score	int			animal.training.day19_score	NA	1	4
Animal Training	day19_comments	Day 19 Comments	varchar(MAX)			animal.training.day19_comments	NA	NA	NA
Animal Training	day20_days	[C] Day 20 Day (in relation to arrival date)	int			animal.training.day20_days	1	NA	NA
Animal Training	day20time	Day 20 Time	varchar			animal.training.day20time	NA	NA	NA
Animal Training	day20_treadmillspeed	Day 20 Treadmill Speed	numeric			animal.training.day20_treadmillspeed	NA	NA	NA
Animal Training	day20_treadmillincline	Day 20 Treadmill Incline	numeric			animal.training.day20_treadmillincline	NA	NA	NA
Animal Training	day20_timeontreadmill	Day 20 Time on Treadmill	int			animal.training.day20_timeontreadmill	NA	NA	NA
Animal Training	day20_weight	Day 20 Weight	numeric			animal.training.day20_weight	NA	NA	NA
Animal Training	day20_posttrainlact	Day 20 Post-training Lactate	numeric			animal.training.day20_posttrainlact	NA	NA	NA
Animal Training	day20_score	Day 20 Score	int			animal.training.day20_score	NA	1	4
Animal Training	day20_comments	Day 20 Comments	varchar(MAX)			animal.training.day20_comments	NA	NA	NA
Animal Training	day21_days	[C] Day 21 Day (in relation to arrival date)	int			animal.training.day21_days	1	NA	NA
Animal Training	day21time	Day 21 Time	varchar			animal.training.day21time	NA	NA	NA
Animal Training	day21_treadmillspeed	Day 21 Treadmill Speed	numeric			animal.training.day21_treadmillspeed	NA	NA	NA
Animal Training	day21_treadmillincline	Day 21 Treadmill Incline	numeric			animal.training.day21_treadmillincline	NA	NA	NA
Animal Training	day21_timeontreadmill	Day 21 Time on Treadmill	int			animal.training.day21_timeontreadmill	NA	NA	NA
Animal Training	day21_weight	Day 21 Weight	numeric			animal.training.day21_weight	NA	NA	NA
Animal Training	day21_posttrainlact	Day 21 Post-training Lactate	numeric			animal.training.day21_posttrainlact	NA	NA	NA
Animal Training	day21_score	Day 21 Score	int			animal.training.day21_score	NA	1	4
Animal Training	day21_comments	Day 21 Comments	varchar(MAX)			animal.training.day21_comments	NA	NA	NA
Animal Training	day22_days	[C] Day 22 Day (in relation to arrival date)	int			animal.training.day22_days	1	NA	NA
Animal Training	day22time	Day 22 Time	varchar			animal.training.day22time	NA	NA	NA
Animal Training	day22_treadmillspeed	Day 22 Treadmill Speed	numeric			animal.training.day22_treadmillspeed	NA	NA	NA
Animal Training	day22_treadmillincline	Day 22 Treadmill Incline	numeric			animal.training.day22_treadmillincline	NA	NA	NA
Animal Training	day22_timeontreadmill	Day 22 Time on Treadmill	int			animal.training.day22_timeontreadmill	NA	NA	NA
Animal Training	day22_weight	Day 22 Weight	numeric			animal.training.day22_weight	NA	NA	NA
Animal Training	day22_posttrainlact	Day 22 Post-training Lactate	numeric			animal.training.day22_posttrainlact	NA	NA	NA
Animal Training	day22_score	Day 22 Score	int			animal.training.day22_score	NA	1	4
Animal Training	day22_comments	Day 22 Comments	varchar(MAX)			animal.training.day22_comments	NA	NA	NA
Animal Training	day23_days	[C] Day 23 Day (in relation to arrival date)	int			animal.training.day23_days	1	NA	NA
Animal Training	day23time	Day 23 Time	varchar			animal.training.day23time	NA	NA	NA
Animal Training	day23_treadmillspeed	Day 23 Treadmill Speed	numeric			animal.training.day23_treadmillspeed	NA	NA	NA
Animal Training	day23_treadmillincline	Day 23 Treadmill Incline	numeric			animal.training.day23_treadmillincline	NA	NA	NA
Animal Training	day23_timeontreadmill	Day 23 Time on Treadmill	int			animal.training.day23_timeontreadmill	NA	NA	NA
Animal Training	day23_weight	Day 23 Weight	numeric			animal.training.day23_weight	NA	NA	NA
Animal Training	day23_posttrainlact	Day 23 Post-training Lactate	numeric			animal.training.day23_posttrainlact	NA	NA	NA
Animal Training	day23_score	Day 23 Score	int			animal.training.day23_score	NA	1	4
Animal Training	day23_comments	Day 23 Comments	varchar(MAX)			animal.training.day23_comments	NA	NA	NA
Animal Training	day24_days	[C] Day 24 Day (in relation to arrival date)	int			animal.training.day24_days	1	NA	NA
Animal Training	day24time	Day 24 Time	varchar			animal.training.day24time	NA	NA	NA
Animal Training	day24_treadmillspeed	Day 24 Treadmill Speed	numeric			animal.training.day24_treadmillspeed	NA	NA	NA
Animal Training	day24_treadmillincline	Day 24 Treadmill Incline	numeric			animal.training.day24_treadmillincline	NA	NA	NA
Animal Training	day24_timeontreadmill	Day 24 Time on Treadmill	int			animal.training.day24_timeontreadmill	NA	NA	NA
Animal Training	day24_weight	Day 24 Weight	numeric			animal.training.day24_weight	NA	NA	NA
Animal Training	day24_posttrainlact	Day 24 Post-training Lactate	numeric			animal.training.day24_posttrainlact	NA	NA	NA
Animal Training	day24_score	Day 24 Score	int			animal.training.day24_score	NA	1	4
Animal Training	day24_comments	Day 24 Comments	varchar(MAX)			animal.training.day24_comments	NA	NA	NA
Animal Training	day25_days	[C] Day 25 Day (in relation to arrival date)	int			animal.training.day25_days	1	NA	NA
Animal Training	day25time	Day 25 Time	varchar			animal.training.day25time	NA	NA	NA
Animal Training	day25_treadmillspeed	Day 25 Treadmill Speed	numeric			animal.training.day25_treadmillspeed	NA	NA	NA
Animal Training	day25_treadmillincline	Day 25 Treadmill Incline	numeric			animal.training.day25_treadmillincline	NA	NA	NA
